Place,Route,Time_of_Day,Peak_Type,Passenger_Demand,Traffic_Conditions,Scheduled_Buses
Kodambakkam,Route_5,Afternoon_School,Office,182,High,36
Vadapalani,Route_2,Late_Morning,Non_Peak,71,Low,7
Anna Nagar,Route_2,Early_Afternoon,Non_Peak,48,High,9
Adyar,Route_2,Afternoon_School,Office,94,High,18
Tambaram,Route_1,Morning_School,School,186,Low,18
Tambaram,Route_4,Night,Non_Peak,27,Moderate,3
Porur,Route_5,Morning_Office,School,140,Low,14
Tambaram,Route_2,Afternoon_School,Office,100,High,20
Anna Nagar,Route_2,Morning_Office,School,182,High,36
Adyar,Route_6,Late_Morning,Non_Peak,77,High,15
Anna Nagar,Route_2,Late_Morning,Non_Peak,38,High,7
Kodambakkam,Route_4,Morning_Office,School,166,Moderate,20
Adyar,Route_4,Evening_Office,School,154,High,30
Anna Nagar,Route_3,Late_Morning,Non_Peak,30,Low,3
Anna Nagar,Route_1,Morning_Office,School,167,Low,16
Vadapalani,Route_4,Morning_School,School,196,Moderate,24
Guindy,Route_4,Afternoon_School,School,179,High,35
Mylapore,Route_1,Evening_Office,School,183,High,36
Tambaram,Route_4,Afternoon_School,College,103,High,20
Vadapalani,Route_6,Morning_Office,School,82,High,16
T. Nagar,Route_5,Evening_Office,College,101,Moderate,12
Vadapalani,Route_5,Evening_Office,Office,132,Low,13
Anna Nagar,Route_6,Morning_Office,College,81,High,16
Kodambakkam,Route_1,Evening_Office,College,167,Moderate,20
Porur,Route_3,Early_Afternoon,Non_Peak,63,Moderate,7
Mylapore,Route_1,Late_Morning,Non_Peak,49,Low,4
Mylapore,Route_5,Evening_Office,School,117,High,23
T. Nagar,Route_5,Afternoon_School,Office,81,Low,8
T. Nagar,Route_4,Early_Afternoon,Non_Peak,79,High,15
Anna Nagar,Route_5,Morning_Office,Office,100,High,20
Adyar,Route_3,Morning_School,School,112,Low,11
Velachery,Route_4,Evening_Office,Office,155,Moderate,19
Porur,Route_5,Early_Afternoon,Non_Peak,77,Low,7
T. Nagar,Route_5,Evening_Office,College,101,Moderate,12
Anna Nagar,Route_2,Evening_Office,Office,187,Moderate,23
T. Nagar,Route_2,Late_Morning,Non_Peak,44,Low,4
Vadapalani,Route_6,Night,Non_Peak,68,Low,6
Porur,Route_5,Morning_School,School,170,Low,17
Velachery,Route_3,Afternoon_School,School,138,Moderate,17
Guindy,Route_5,Morning_School,Office,121,Moderate,15
Tambaram,Route_6,Evening_Office,School,171,Moderate,21
Mylapore,Route_2,Night,Non_Peak,79,Low,7
Vadapalani,Route_3,Morning_School,Office,159,Low,15
Guindy,Route_4,Morning_School,College,94,Low,9
Kodambakkam,Route_5,Afternoon_School,School,141,High,28
Guindy,Route_1,Morning_Office,Office,141,Low,14
Kodambakkam,Route_5,Late_Morning,Non_Peak,66,Low,6
Anna Nagar,Route_2,Afternoon_School,School,141,High,28
Mylapore,Route_3,Morning_School,College,130,Low,13
T. Nagar,Route_4,Afternoon_School,Office,187,Low,18
Velachery,Route_3,Night,Non_Peak,74,Moderate,9
Mylapore,Route_2,Morning_Office,College,195,Low,19
Anna Nagar,Route_2,Morning_School,College,143,Moderate,17
Tambaram,Route_3,Night,Non_Peak,76,Low,7
Kodambakkam,Route_4,Afternoon_School,College,82,Low,8
Guindy,Route_2,Morning_Office,Office,180,Low,18
Kodambakkam,Route_6,Early_Afternoon,Non_Peak,70,Low,7
Vadapalani,Route_1,Afternoon_School,Office,86,Low,8
Guindy,Route_2,Afternoon_School,Office,100,High,20
Tambaram,Route_5,Early_Afternoon,Non_Peak,28,Moderate,3
Tambaram,Route_6,Late_Morning,Non_Peak,58,Moderate,7
Mylapore,Route_3,Early_Afternoon,Non_Peak,37,Moderate,4
Mylapore,Route_4,Late_Morning,Non_Peak,23,Low,2
Mylapore,Route_4,Early_Afternoon,Non_Peak,44,High,8
Vadapalani,Route_5,Early_Afternoon,Non_Peak,79,Moderate,9
Anna Nagar,Route_3,Night,Non_Peak,33,Low,3
Anna Nagar,Route_1,Night,Non_Peak,69,Low,6
Vadapalani,Route_6,Morning_Office,School,88,High,17
Anna Nagar,Route_5,Early_Afternoon,Non_Peak,45,Moderate,5
Porur,Route_5,Night,Non_Peak,72,High,14
Kodambakkam,Route_5,Night,Non_Peak,21,Moderate,2
Tambaram,Route_3,Early_Afternoon,Non_Peak,39,Moderate,4
Velachery,Route_2,Early_Afternoon,Non_Peak,47,Moderate,5
Vadapalani,Route_4,Morning_School,Office,190,High,38
Anna Nagar,Route_6,Afternoon_School,Office,139,Moderate,17
Vadapalani,Route_5,Night,Non_Peak,26,High,5
Porur,Route_5,Afternoon_School,School,123,Moderate,15
Anna Nagar,Route_1,Night,Non_Peak,27,Moderate,3
Mylapore,Route_5,Early_Afternoon,Non_Peak,66,Moderate,8
Adyar,Route_1,Morning_School,College,114,High,22
T. Nagar,Route_2,Night,Non_Peak,33,Moderate,4
Porur,Route_3,Late_Morning,Non_Peak,36,High,7
Vadapalani,Route_2,Evening_Office,School,115,Moderate,14
Vadapalani,Route_3,Evening_Office,College,129,High,25
Tambaram,Route_6,Early_Afternoon,Non_Peak,59,High,11
Mylapore,Route_2,Morning_Office,College,83,Low,8
Porur,Route_2,Afternoon_School,Office,81,Moderate,10
Porur,Route_3,Morning_Office,Office,85,High,17
Mylapore,Route_6,Afternoon_School,Office,133,Moderate,16
T. Nagar,Route_3,Evening_Office,College,185,High,37
Guindy,Route_5,Afternoon_School,School,83,Moderate,10
Porur,Route_5,Evening_Office,School,133,Moderate,16
Kodambakkam,Route_4,Afternoon_School,Office,172,High,34
Guindy,Route_3,Afternoon_School,Office,142,Low,14
Vadapalani,Route_4,Early_Afternoon,Non_Peak,37,Moderate,4
Guindy,Route_4,Morning_Office,Office,169,Moderate,21
T. Nagar,Route_2,Morning_School,College,123,Low,12
Guindy,Route_4,Morning_Office,School,113,Low,11
Anna Nagar,Route_1,Early_Afternoon,Non_Peak,29,Low,2
T. Nagar,Route_4,Afternoon_School,Office,141,Moderate,17
Guindy,Route_3,Evening_Office,Office,179,Low,17
Porur,Route_5,Afternoon_School,Office,93,High,18
Mylapore,Route_6,Afternoon_School,School,174,High,34
Anna Nagar,Route_2,Evening_Office,School,127,Low,12
Anna Nagar,Route_3,Evening_Office,Office,94,Moderate,11
Vadapalani,Route_6,Late_Morning,Non_Peak,27,Moderate,3
Kodambakkam,Route_4,Morning_School,College,157,High,31
Porur,Route_6,Early_Afternoon,Non_Peak,42,Moderate,5
T. Nagar,Route_5,Night,Non_Peak,79,High,15
Adyar,Route_5,Morning_School,College,141,Low,14
Guindy,Route_3,Early_Afternoon,Non_Peak,59,High,11
Kodambakkam,Route_3,Night,Non_Peak,40,High,8
Adyar,Route_2,Night,Non_Peak,35,Moderate,4
Vadapalani,Route_3,Morning_School,College,188,High,37
Porur,Route_3,Morning_School,School,161,Low,16
Anna Nagar,Route_4,Late_Morning,Non_Peak,66,High,13
Mylapore,Route_6,Late_Morning,Non_Peak,72,High,14
Vadapalani,Route_1,Late_Morning,Non_Peak,43,High,8
Velachery,Route_6,Evening_Office,Office,105,Moderate,13
Velachery,Route_4,Morning_Office,School,168,Moderate,21
Kodambakkam,Route_1,Morning_Office,Office,139,High,27
Vadapalani,Route_4,Early_Afternoon,Non_Peak,79,Moderate,9
Velachery,Route_6,Afternoon_School,Office,188,Low,18
Guindy,Route_5,Afternoon_School,College,120,High,24
Tambaram,Route_1,Morning_School,Office,108,Moderate,13
Tambaram,Route_4,Late_Morning,Non_Peak,34,High,6
Kodambakkam,Route_1,Early_Afternoon,Non_Peak,64,High,12
Porur,Route_1,Early_Afternoon,Non_Peak,20,Low,2
T. Nagar,Route_2,Morning_Office,Office,168,Moderate,21
Guindy,Route_3,Morning_Office,College,150,Moderate,18
Mylapore,Route_1,Night,Non_Peak,28,High,5
Anna Nagar,Route_3,Evening_Office,College,167,Low,16
Tambaram,Route_3,Early_Afternoon,Non_Peak,20,High,4
T. Nagar,Route_4,Morning_School,School,187,Moderate,23
Tambaram,Route_1,Afternoon_School,College,87,High,17
Velachery,Route_3,Morning_Office,School,167,Moderate,20
Guindy,Route_1,Morning_School,Office,142,Moderate,17
Velachery,Route_3,Morning_School,School,90,High,18
Anna Nagar,Route_4,Early_Afternoon,Non_Peak,70,Moderate,8
Adyar,Route_4,Night,Non_Peak,36,Moderate,4
Guindy,Route_3,Late_Morning,Non_Peak,27,High,5
Vadapalani,Route_6,Evening_Office,College,114,Moderate,14
Guindy,Route_2,Afternoon_School,Office,114,Moderate,14
Guindy,Route_5,Evening_Office,College,112,High,22
Guindy,Route_1,Morning_Office,Office,84,Low,8
Vadapalani,Route_6,Morning_Office,School,185,Moderate,23
Tambaram,Route_2,Morning_Office,College,182,Low,18
Mylapore,Route_6,Morning_School,College,120,Moderate,15
Kodambakkam,Route_4,Night,Non_Peak,47,Moderate,5
Porur,Route_1,Night,Non_Peak,26,Low,2
Velachery,Route_4,Late_Morning,Non_Peak,28,Low,2
Guindy,Route_6,Morning_School,School,151,Low,15
Anna Nagar,Route_3,Afternoon_School,College,91,High,18
Guindy,Route_2,Early_Afternoon,Non_Peak,53,Moderate,6
Mylapore,Route_4,Late_Morning,Non_Peak,52,Moderate,6
Anna Nagar,Route_4,Morning_Office,School,127,High,25
Porur,Route_4,Evening_Office,School,198,High,39
Velachery,Route_6,Early_Afternoon,Non_Peak,42,Low,4
Guindy,Route_6,Evening_Office,College,141,High,28
Mylapore,Route_6,Evening_Office,School,167,Low,16
Kodambakkam,Route_5,Early_Afternoon,Non_Peak,56,Low,5
Porur,Route_2,Morning_School,Office,178,Moderate,22
Velachery,Route_3,Evening_Office,College,123,High,24
